1,Bertie the Brain,2,19157
2,Auto Test,2,347705
3,Indy 500 (1969),4,74171
4,Jet Rocket,2,56115
5,Galaxy Game,2,11396
6,Computer Space,2,11245
7,Killer Shark,2,18203
8,Play Ball,2,40401
9,Pong,2,1333
10,Volly,2,130859
11,Paddle Battle,2,172781
12,Winner,2,130946
13,Elepong,2,69367
14,Tennis Tourney,2,172783
15,Space Race,2,11552
16,Pong-Tron,2,70702
17,Winner IV,2,170845
18,Pong Doubles,2,18154
19,Gotcha,2,7427
20,Hockey,2,18585
21,Pro Hockey,2,69368
22,Astro Race,2,172593
23,Soccer,2,172594
24,Super Soccer (1973),2,172784
25,Pong-Tron II,2,70703
26,Asteroid,2,170781
27,Leader,2,170846
28,Davis Cup,2,172597
29,Laser Clay Shooting System,2,39712
30,Hockey TV,2,98596
31,Super Pong,2,64120
32,Rebound,2,16977
33,Spike,2,174628
34,Qwak!,2,11511
35,Quadrapong,2,79040
36,Gran Trak 10,4,7429
37,TV Basketball,2,16979
38,World Cup (Atari),2,174657
39,Clean Sweep,2,18159
40,Touch Me,2,225597
41,Gran Trak 20,2,174658
42,Pin Pong,2,18155
43,Wheels,2,170425
44,Tank,4,7428
45,Wild Gunman (1974),5,16980
46,Wipe Out,2,18160
47,Balloon Gun,2,63847
48,Ball Park,2,91375
49,World Cup Football,2,130764
50,Playtime,2,170847
51,Baseball (1974),2,171259
52,TV Pinball,2,171267
53,Goal Kick,2,171849
54,Attack UFO (1974),2,172546
55,TV Pingame,2,257603
56,Pursuit,2,110850
57,UFO Chase,2,110855
58,Indy 800,2,18210
59,Hi-way,2,18201
60,Pace Car Pro,2,110853
61,Street Burners,2,110854
62,Super Flipper,2,110838
63,Drop Zone 4,2,109590
64,Anti-Aircraft,2,11553
65,Wheels II,2,80018
66,Speed Race DX,2,342140
67,Western Gun,2,11514
68,Shark Jaws,2,18202
69,Steeplechase,2,18204
70,Crash 'N Score,2,11554
71,Jet Fighter,2,13251
72,Gun Fight,2,85868
73,Trivia,2,110820
74,Fire Power,2,110821
75,Maneater,2,110851
76,Shark,2,110852
77,BiPlane,2,110885
78,Destruction Derby,2,171266
79,Crossfire,2,13535
80,Avenger,2,91358
81,EVR Race,2,100172
82,Bullet Mark,2,171851
83,Goal IV,2,339779
84,Demolition Derby (1975),2,110847
85,Bombs Away,2,113936
86,Ace,2,249277
87,Stunt Cycle,2,18584
88,Road Race,2,67442
89,Interceptor,2,84441
90,Outlaw (1976),2,113994
91,Nurburgring-1,2,238207
92,Sea Wolf,4,17241
93,Death Race,4,8561
94,Quiz Show,2,112889
95,Eliminator IV,2,113934
96,Sparkling Corner,2,172521
97,BiPlane 4,2,112890
98,Breakout,2,2754
99,Cops 'N Robbers,2,40278
100,Flyball,2,40329
101,Lazer Command,2,40335
102,21,2,110876
103,Tornado Baseball,2,40467
104,Cobra Gunship,2,113937
105,Crashing Race,2,172598
106,Fonz,2,80064
107,Rock'n Bark,2,171853
108,Squadron,2,172523
109,Le Mans,2,113938
110,Attack (Exidy),2,18607
111,Attack (Taito),2,110877
112,Tank 8,2,113933
113,Amazing Maze,2,18115
114,Bigfoot Bonkers,2,18117
115,Blockade,2,18118
116,Night Driver,2,18649
117,Alley Rally,2,110878
118,Flying Fortress,2,113993
119,Heavyweight Champ (1976),2,172525
120,280 Zzzap,2,19710
121,Video Pool,2,113929
122,Sprint 2,4,61314
123,Indy 4,2,18583
124,Starship 1,2,28364
125,Spitfire,2,85829
126,Knights in Armor,2,123084
127,Hit Me,2,171260
128,Sea Battle,2,171261
129,Tracer,2,171852
130,Heavy Traffic,2,272334
131,400 Miles,2,272527
132,Sky War,2,272802
133,Dominos,2,18612
134,Wall Break,2,172658
135,Barricade,2,18116
136,Guided Missile,2,40318
137,Crash Course,2,172528
138,Road Champion,2,39309
139,Hustle,2,40054
140,Bomber,2,131104
141,Fisco 400,2,172600
142,Boot Hill,2,18608
143,Sprint 8,2,61311
144,Subs,2,280959
145,Embargo,2,40300
146,Pool Shark,2,169226
147,Flying Fortress II,2,172651
148,Table Barrier,2,172652
149,Star Hawk,2,40445
150,Triple Hunt,2,40497
151,Super Bug,2,40431
152,Meadows Lanes,2,40358
153,M-79 Ambush,2,123021
154,Block,2,172653
155,Block Yard,2,175823
156,Depthcharge,2,18609
157,Space Wars,2,19372
158,Star Cruiser,2,19373
159,Safari,2,171771
160,Desert Gun,2,18610
161,Robot Bowl,2,39518
162,Super High-Way,2,172649
163,Gunman,2,172650
164,Canyon Bomber,2,17017
165,Superbowl,2,172527
166,Circus,2,12944
167,Super Speed Race,2,40461
168,Drag Race,2,18104
169,Destroyer (Atari),2,18611
170,Car Polo,2,19371
171,M-4,2,40561
172,Bazooka,2,64773
173,Checkmate,2,81568
174,World Cup (Sega),2,130762
175,Double Play,2,170258
176,Laguna Racer,2,170525
177,Score,2,171268
178,Shoot Away,5,230598
179,Mine Sweeper,2,252359
180,Heli-Shooter,2,257822
181,Desert Patrol,2,275232
182,Blockbuster,2,327740
183,Sprint 1,2,18393
184,Fire Truck,2,143172
185,Super Road Champions,2,230767
186,Ultra Tank,2,39402
187,Blue Shark,4,40276
188,Super Block,2,172655
189,Destroyer (1978),2,175824
190,Avalanche,2,46840
191,Computer Othello,2,242573
192,Space Invaders,2,3601
193,Sea Wolf II,4,17242
194,Blasto,2,40030
195,Dead Eye,5,40313
196,Gypsy Juggler,2,40315
197,Top Runner,2,172532
198,Top Bowler,2,172654
199,Super Destroyer,2,175631
200,Tournament Table,2,40502
201,Extra Inning,2,69398
202,Trampoline,2,172661
203,Pro Racer,2,172529
204,Secret Base,2,172530
205,Super Breakout,2,12321
206,Gee Bee,2,2752
207,Atari Football,2,16760
208,Frogs,2,46803
209,Block Fever,7,62855
210,Breaker,2,175825
211,Space Fighter,2,172531
212,Dawn Patrol,2,13236
213,Outlaw (1978),2,15562
214,Sky Diver,2,16970
215,Sky Raider,2,24830
216,Sprint One,2,39908
217,3-D Bowling,2,72431
218,Dog Patch,2,91487
219,Shuffleboard,2,170526
220,Space Walk,2,170527
221,Football,2,171272
222,Wildwood,2,171855
223,Galaxy War,2,171857
224,Space War,2,171888
225,Space Stranger,2,252730
226,Video Pinball,2,257613
227,Game Tree,2,275231
228,Space King,2,98247
229,Double Block,2,172533
230,Space Attack,2,38573
231,Space Fever,2,39974
232,Heiankyo Alien,2,40001
233,SF-HiSplitter,2,131143
234,Starhawk,2,23202
235,Speed Freak,2,46764
236,Fortress,2,131426
237,Head On,2,16971
238,ZunZun Block,2,172657
239,Atari 4 Player Football,2,250338
240,Atari Basketball,2,131421
241,Star Fire,4,23160
242,4 Player Bowling Alley,2,40285
243,Dodgem,2,40309
244,Phantom II,2,40404
245,Safari Rally,2,40416
246,Atari Baseball,2,41092
247,SOS,2,46819
248,Straight Flush,2,40438
249,Bomb Bee,2,38036
250,Deluxe Space Invaders,2,64077
251,Field Goal,2,172656
252,Lunar Lander,2,16973
253,Barrier,2,38546
254,Rich Man,2,175826
255,Space Chaser,2,39803
256,Galaxy Wars,2,39990
257,Galaxian,2,4614
258,Warrior,2,16974
259,Astro Fighter,2,23049
260,Monkey Magic,2,145394
261,Space Ship,2,175828
262,Space Guerilla,2,392974
263,Monaco GP,2,6118
264,Cutie Q,2,21674
265,Lunar Rescue,2,40007
266,Space Launcher,2,60875
267,Tail Gunner,2,171861
268,Asteroids,2,7758
269,Intruder,2,40011
270,Ozma Wars,2,40069
271,Sprint 4,2,61312
272,Tailgunner,4,24639
273,Sundance,2,39411
274,Fire One,2,39515
275,Rip Cord,2,39516
276,Side Trak,2,39517
277,Invinco,2,39992
278,Deep Scan,2,80208
279,Sheriff,2,91662
280,Ripcord,2,95419
281,Head on 2,2,98611
282,Head on N,2,98646
283,Warp 1,2,131295
284,Bomb Bee N,2,145395
285,Crash,2,171273
286,Kreepy Krawlers,2,171468
287,Attack Force (1979),2,250497
288,Beam Invader,2,255363
289,Cosmic Guerilla,2,276388
290,Rolling Crash,2,277500
291,Clay Shoot,2,277502
292,Space Beam,2,277882
293,Cosmic Monsters,2,281285
294,Crazy Balloon,2,38532
295,UniWar S,2,40012
296,Cosmic Alien,2,40021
297,Cheeky Mouse,2,40024
298,Kaitei Takara Sagashi,2,40214
299,Moon Cresta,2,18762
300,Navarone,2,69478
301,Balloon Bomber,2,39294
302,Space Invaders II,2,46839
303,Samurai,2,140531
304,Steel Worker,2,299481
305,Sky Chuter,2,328226
306,Atari Soccer,2,40014
307,Astro Invader,2,39656
308,Pac-Man,2,2750
309,Devil Zone,2,300401
310,Armor Attack,2,2388
311,Carnival,2,5666
312,Space Encounters,2,39975
313,Extra Bases,2,40297
314,Magical Spot,2,40365
315,New York! New York!,2,40379
316,Monte Carlo,2,40385
317,R2D Tank,2,40394
318,Space Trek,2,41099
319,Space Tactics,2,41100
320,Magical Spot II,2,40364
321,Tranquillizer Gun,2,6128
322,Missile Command,2,12313
323,Andromeda SS,2,249705
324,Heli Fire,2,38565
325,King & Balloon,2,21689
326,Battlezone,4,12916
327,Rally-X,4,18620
328,Star Castle,2,18731
329,Radar Scope,2,39391
330,Bradley Trainer,2,40272
331,Berzerk,2,2391
332,Phoenix,2,18473
333,Pulsar,2,172728
334,Stratovox,2,39406
335,Crazy Climber,2,4611
336,N-Sub,2,6120
337,Wizard of Wor,2,7743
338,Warlords,2,17251
339,Red Baron,4,18469
340,Polaris,2,18650
341,Space Panic,2,18678
342,Rip Off,2,18742
343,Space Firebird,2,22432
344,Spectar,2,23171
345,Space Zap,2,23244
346,Targ,2,24828
347,Megatack,2,38576
348,Space Cyclone,2,39308
349,Zero Hour,2,39344
350,Killer Comet,2,40049
351,Lupin III,2,46760
352,Tail Gunner 2,2,59336
353,Sasuke vs. Commander,2,65660
354,Manhattan,2,67462
355,Terranean,2,83353
356,Mad Alien,2,83354
357,Indian Battle,2,91665
358,Kosmo Killer,2,120627
359,Attack Force (1980),2,143056
360,Digger,2,172721
361,Dorachan,2,178099
362,HWY Chase,2,198122
363,Quasar,2,198123
364,Attack UFO (1980),2,250498
365,Moon Alien,2,277652
366,Moon Raker,2,277658
367,Car Hunt,2,277659
368,Tomahawk Missile,2,277897
369,Future Flash,2,280952
370,Final Ranger,2,280953
371,Space Battle,2,280954
372,Meteor,2,280955
373,No Man's Land,2,280980
374,Eagle,2,280983
375,Shark Attack,2,281026
376,Mole Hunter,2,281635
377,Pac-Man (speedup),2,308719
378,The End,2,38578
379,Gingateikoku No Gyakushu,2,38646
380,Scramble,2,1475
381,New Rally-X,2,18621
382,Altair,2,38550
383,Video Hustler,2,38557
384,800 Fathoms,2,39338
385,Crush Roller,2,39641
386,Battle of Atlantis,2,40032
387,Astro Fantasia,2,83352
388,Route-16,2,40185
389,Defender,2,3873
390,Asteroids Deluxe,2,13689
391,Astro Blaster,2,13959
392,Korosuke Roller,2,40225
393,Pleiads,2,40009
394,Black Hole,2,46790
395,Tournament Pro Golf,2,249093
396,Pleiades,2,24467
397,Demoneye-X,2,40311
398,Grand Champion,2,40324
399,The Hand,2,40351
400,Red Alert,2,40391
401,Rock Climber,2,40421
402,Moon War,2,40560
403,Space Seeker,2,41101
404,Spiders,2,46871
405,Space Cruiser,2,39976
406,War of the Bugs,2,40527
407,Centipede,2,2235
