Cyber Ninja (Mirai Ninja),1988,tt0095643,cyber-ninja,
Super Mario Bros.,1993,tt0108255,super-mario-bros,super-mario-bros
Double Dragon,1994,tt0106761,double-dragon,double-dragon
Street Fighter,1994,tt0111301,street-fighter,street-fighter
Mortal Kombat,1995,tt0113855,mortal-kombat,morkob1
Mortal Kombat: The Journey Begins,1995,tt0363828,mortal-kombat-the-journey-begins,mortal-kombat-the-journey-begins
Mortal Kombat: Annihilation,1997,tt0119707,mortal-kombat-annihilation,mortal-kombat-annihilation
Tokimeki Memorial,1997,tt0265880,tokimeki-memorial,
Oddworld: Abe's Exoddus: The Movie,1998,tt0190587,oddworld-abes-exoddus-the-movie,
Wing Commander,1999,tt0131646,wing-commander,wing-commander
Grand Theft Auto 2,1999,tt3134698,grand-theft-auto-2-the-movie,
Final Fantasy: The Spirits Within,2001,tt0173840,final-fantasy-the-spirits-within,final-fantasy-the-spirits-within
Lara Croft: Tomb Raider,2001,tt0146316,lara-croft-tomb-raider,lara-croft-tomb-raider
Resident Evil,2002,tt0120804,resident-evil,resident-evil
House of the Dead,2003,tt0317676,house-of-the-dead,house-of-the-dead
Lara Croft: Tomb Raider - The Cradle of Life,2003,tt0325703,lara-croft-tomb-raider-the-cradle-of-life,lara-croft-tomb-raider-the-cradle-of-life
Resident Evil: Apocalypse,2004,tt0318627,resident-evil-apocalypse,resident-evil-apocalypse
BloodRayne,2005,tt0383222,bloodrayne,bloodrayne
Doom,2005,tt0419706,doom,doom
Alone in the Dark,2005,tt0369226,alone-in-the-dark-2005,alone-in-the-dark
Siren,2006,tt0494815,forbidden-siren,forbidden-siren
Silent Hill,2006,tt0384537,silent-hill,silent-hill
Animal Crossing (Dōbutsu no Mori),2006,tt1190545,animal-crossing-the-movie,
DOA: Dead or Alive,2006,tt0398913,doa-dead-or-alive,d-o-a-mort-ou-vif
Like a Dragon: Prologue,2006,tt6420528,like-a-dragon-prologue,
BloodRayne II: Deliverance,2007,tt0896036,bloodrayne-deliverance,bloodrayne-deliverance
Hitman,2007,tt0465494,hitman,hitman-2007
In the Name of the King: A Dungeon Siege Tale,2007,tt0460780,in-the-name-of-the-king-a-dungeon-siege-tale,in-the-name-of-the-king-a-dungeon-siege-tale
Postal,2007,tt0486640,postal,postal
Resident Evil: Extinction,2007,tt0432021,resident-evil-extinction,resident-evil-extinction
Halo: Landfall,2007,tt6443526,halo-landfall,
Yakuza: Like a Dragon,2007,tt0991243,yakuza-like-a-dragon,like-a-dragon
Kingdom Hearts: Birth by Sleep,2007,tt1390843,,
Alone in the Dark 2,2008,tt0913951,alone-in-the-dark-2,alone-in-the-dark-2
Far Cry,2008,tt0400426,far-cry,far-cry
Max Payne,2008,tt0467197,max-payne,max-payne
When They Cry,2008,tt1116935,shrill-cries-of-summer,shrill-cries-of-summer
Onechanbara: The Movie,2008,tt1192613,onechanbara-the-movie,onechanbara-bikini-samurai-squad
Sonic: Night of the Werehog,2008,tt1380954,sonic-night-of-the-werehog,
Assassin's Creed: Lineage,2009,tt1587390,assassins-creed-lineage,assassins-creed-lineage
Chanbara Beauty: The Movie - Vortex,2009,tt1438499,onechanbara-the-movie-vortex,oneechanbara-the-movie-vortex
Street Fighter: The Legend of Chun-Li,2009,tt0891592,street-fighter-the-legend-of-chun-li,street-fighter-the-legend-of-chun-li
Tales of Vesperia: The First Strike,2009,tt1520392,tales-of-vesperia-the-first-strike,tales-of-vesperia-the-first-strike
When They Cry: Rei,2009,tt6061174,,
Prince of Persia: The Sands of Time,2010,tt0473075,prince-of-persia-the-sands-of-time,prince-of-persia-the-sands-of-time
Tekken,2010,tt0411951,tekken,tekken
The King of Fighters,2010,tt1038685,the-king-of-fighters,the-king-of-fighters
Dragon Ball: Plan to Eradicate the Super Saiyans,2010,tt4008518,dragon-ball-plan-to-eradicate-the-super-saiyans,
