Pac-Man,1982,tt0083461,pac-man
Saturday Supercade,1983,tt0085008,saturday-supercade
Dragon's Lair,1984,tt0086698,dragons-lair
Pole Position,1984,tt0086781,pole-position
Captain N: The Game Master,1989,tt0096554,captain-n-the-game-master
The Super Mario Bros. Super Show!,1989,tt0096707,the-super-mario-bros-super-show
The Legend of Zelda,1989,tt0832330,the-legend-of-zelda
The Adventures of Super Mario Bros. 3,1990,tt0098762,the-adventures-of-super-mario-bros-3
Maniac Mansion,1990,tt0098851,maniac-mansion
Video Power,1990,tt0165600,
Super Mario World,1991,tt0167552,captain-n-and-the-new-super-mario-world
Battletoads,1992,tt0299260,
Sonic the Hedgehog,1993,tt0106140,sonic-the-hedgehog
Adventures of Sonic the Hedgehog,1993,tt0222518,the-adventures-of-sonic-the-hedgehog
Double Dragon,1993,tt0242197,double-dragon
Bubsy,1993,tt0287945,
Mega Man,1994,tt0165046,mega-man
Where on Earth Is Carmen Sandiego?,1994,tt0167742,where-on-earth-is-carmen-sandiego
Mutant League,1994,tt0179597,mutant-league
The Adventures of Hyperman,1995,tt0111871,
Earthworm Jim,1995,tt0111948,earthworm-jim
Street Fighter: The Animated Series,1995,tt0219458,street-fighter
Darkstalkers,1995,tt0229122,
Wing Commander Academy,1996,tt0115421,wing-commander-academy
Mortal Kombat: Defenders of the Realm,1996,tt0122355,mortal-kombat-defenders-of-the-realm
Shin Megami Tensei: Devil Summoner,1997,tt0136665,
Donkey Kong Country,1997,tt0149447,donkey-kong-country
Nightmare Ned,1997,tt0239181,
Mortal Kombat: Conquest,1998,tt0170982,mortal-kombat-conquest
Athena,1998,tt29567343,athena-goddess-of-war
Blaster's Universe,1999,tt0221026,
Sonic Underground,1999,tt0230804,sonic-underground
Rayman: The Animated Series,1999,tt0472971,
Skipper & Skeeto,2001,tt1191984,
Moorhuhn,2001,tt34904879,
Video Mods,2004,tt0479851,
Gift,2005,tt0472643,
Chinese Paladin,2005,tt3914484,chinese-paladin
Viva Piñata,2006,tt0837069,viva-pinata
Mix Master,2006,tt2035145,
Tak & the Power of Juju,2007,tt0853078,tak-and-the-power-of-juju
Yakuza: Like a Dragon,2007,tt0991243,like-a-dragon-yakuza
Magi-Nation,2007,tt1001475,magi-nation
Re\Visioned: Tomb Raider Animated Series,2007,tt1124308,
Adiboo: Adventure! In the Human Body!,2007,tt23624082,adiboo-adventure
Wakfu,2008,tt1807824,wakfu
Ape Escape,2009,tt1223982,ape-escape
Chinese Paladin 3,2009,tt5594036,chinese-paladin-3
Kurohyo: Ryu ga Gotoku Shinsho,2010,tt1766733,
Kaitô Royale,2011,tt2052699,
Watashi no host chan - shichinin no host -,2011,tt2054696,
Sengoku Basara - Moonlight Party,2012,tt2217054,
Swampy's Underground Adventures,2012,tt2417602,
The Great Seer,2012,tt2896416,
Kurohyou 2: Ryu Ga Gotoku Ashura-hen,2012,tt29232766,
Xuan Yuan Sword - Rift of the Sky,2012,tt3236906,xuan-yuan-sword-scar-of-sky
Talking Friends,2012,tt4448216,
Om Nom Stories,2012,tt4643420,om-nom-stories
Nekketsu Kouha Kunio-kun,2013,tt20880768,
Pac-Man and the Ghostly Adventures,2013,tt2392179,pac-man-and-the-ghostly-adventures
Angry Birds Toons,2013,tt3012598,angry-birds-toons
Rabbids Invasion,2013,tt3105674,rabbids-invasion
Dofus: The Treasures of Kerubim,2013,tt3818446,dofus-the-treasures-of-kerubim
Invizimals,2013,tt4900224,invizimals
Talking Tom Shorts,2014,tt13011686,
Sonic Boom,2014,tt3232262,sonic-boom
Watashi no Host Chan S,2014,tt3618570,
Piggy Tales,2014,tt3674118,piggy-tales
Angry Birds Stella,2014,tt4168666,angry-birds-stella
Swords of Legends,2014,tt4322550,swords-of-legends
Talking Tom & Friends,2014,tt4648640,talking-tom-and-friends
Wooparoo Adventure,2015,tt10404346,
Mini Ninjas,2015,tt4576386,mini-ninjas
Hakuouki SSL: Sweet School Life,2015,tt6543272,
Talking Tom and Friends Minis,2016,tt11542624,
Elsword: El Lady,2016,tt15671570,
Clash-A-Rama!,2016,tt5027048,clash-a-rama-the-series
When They Cry,2016,tt5757082,higurashi-when-they-cry
Skylanders Academy,2016,tt5916218,skylanders-academy
Chinese Paladin 5: Clouds of the World,2016,tt6352728,chinese-paladin-5
Stone Age,2017,tt11792598,
Revelation,2017,tt29278830,
Xuan-Yuan Sword: Han Cloud,2017,tt32105033,
Pat the Dog,2017,tt5221566,pat-the-dog
Fruit Ninja,2017,tt5741188,
Castlevania,2017,tt6517102,castlevania
Angry Birds Blues,2017,tt6613034,angry-birds-blues
Stairway to Stardom,2017,tt6922592,
THE IDOLM@STER.KR,2017,tt7256442,
Minecraft Miniseries: Challenge of the Spooky Isles,2017,tt8300566,
Sword of Legends 2,2018,tt27625805,
Mega Man: Fully Charged,2018,tt5608708,mega-man-fully-charged
Subway Surfers: The Animated Series,2018,tt8881732,
Angry Birds Makerspace,2019,tt10536868,
Ninjin,2019,tt11128210,
Best Mistake,2019,tt11997412,
Talking Tom Heroes,2019,tt12929402,
Triviatopia Show,2019,tt27764499,
Costume Quest,2019,tt6536550,costume-quest
Carmen Sandiego,2019,tt7042146,carmen-sandiego
Alien: Isolation,2019,tt9861934,
Angry Birds Slingshot Stories,2020,tt12795248,
Angry Birds - Bubble Trouble,2020,tt13014140,
Detention,2020,tt13175760,detention
Gangs of London,2020,tt7661390,gangs-of-london
Arcane,2021,tt11126994,arcane
Miss the Dragon,2021,tt12861036,
Dota: Dragon's Blood,2021,tt14069590,dota-dragons-blood
Light on Me,2021,tt14837532,
Freddy & Friends: On Tour!,2021,tt15399436,
Tôkyô hôchi shokudô,2021,tt15808144,
The Cuphead Show!,2022,tt10611608,the-cuphead-show
Angry Birds: Summer Madness,2022,tt12027896,angry-birds-summer-madness
Sonic Prime,2022,tt13961348,sonic-prime
Marvel's Midnight Suns,2022,tt15305282,
Trivia Quest,2022,tt18393972,
Dragon Age: Absolution,2022,tt21031054,dragon-age-absolution
Hello Neighbor: Welcome to Raven Brooks,2022,tt23901812,
Halo,2022,tt2934286,halo
Soul Knight Strange Tales,2022,tt30985577,
Resident Evil,2022,tt9660182,resident-evil
Twisted Metal,2023,tt14261112,twisted-metal
Castlevania: Nocturne,2023,tt14833612,castlevania-nocturne
Captain Laserhawk: A Blood Dragon Remix,2023,tt14837566,captain-laserhawk-a-blood-dragon-remix
The Last of Us,2023,tt3581920,the-last-of-us
Fallout,2024,tt12637874,fallout
Ark: The Animated Series,2024,tt13629530,ark-the-animated-series
Tomb Raider: The Legend of Lara Croft,2024,tt13930822,tomb-raider-the-legend-of-lara-croft
Knuckles,2024,tt18291136,knuckles
Angry Birds: Mystery Island,2024,tt27977716,
Sword and Fairy 4,2024,tt30948025,
Sword and Fairy 1,2024,tt31962679,
Sword and Fairy 1,2024,tt31962679,
Dead Cells: Immortalis,2024,tt32869408,
Secret Level,2024,tt33204697,secret-level
Splinter Cell: Deathwatch,2025,tt12809802,
Devil May Cry,2025,tt15716776,devil-may-cry-the-animated-series
Talking Tom Heroes: Suddenly Super,2025,tt39698143,
Jurassic War,2002,,
Koongya Koongya,2006,,
Dao & Bazzi Boomhill Adventure,2007,,
Kētai Shōjo: Koi no Kagai Jugyō,2007,,
Mole's World,2011,,
The Legend of Swordsman,2011,,
Flower Angel,2014,,
Astar-eul Hyanghae Chaguchagu,2014,,
Fantasy Westward Journey,2014,,
Transformice: The Cartoon Series,2015,,
Pal Inn,2015,,
Closers: Side Blacklambs,2016,,
Stardom,2016,,
Smighties,2017,,
Taichi Panda,2017,,
The Running Heroes,2017,,
Age of Gunslingers,2017,,
Legends of Dawn: The Sacred Stone,2021,,
Sword and Fairy Inn,2021,,
AFK Arena: Just Esperia Things,2022,,
Hakuoki,2022,,
Overwatch 2: Genesis,2023,,
