1,Electric Starship Arcade,1
2,Tornado Terry's Family Amusement Center,3
3,Free Play Arcade (Arlington),1
4,Free Play Arcade (Dallas),1
5,Free Play Arcade (Denton),1
6,Free Play Arcade (Fort Worth),1
7,Free Play Arcade (Richardson),1
8,Cidercade Arlington,1
9,Cidercade Austin,1
10,Cidercade Dallas,1
11,Cidercade Fort Worth,1
12,Cidercade Houston,1
13,Dave & Buster's (Arlington),4
14,Dave & Buster's (Crossroads),4
15,Dave & Buster's (Dallas),4
16,Dave & Buster's (Euless),4
17,Dave & Buster's (Friendswood),4
18,Dave & Buster's (Frisco),4
19,Dave & Buster's (Houston - Galleria),4
20,Dave & Buster's (Houston - Katy Fwy),4
21,Dave & Buster's (Lubbock),4
22,Dave & Buster's (McAllen),4
23,Dave & Buster's (North),4
24,Dave & Buster's (Rivercenter),4
25,Dave & Buster's (Shenandoah),4
26,Dave & Buster's (South),4
27,Main Event (Austin),4
28,Main Event (Fort Worth North),4
29,Main Event (Fort Worth South),4
30,Main Event (Frisco),4
31,Main Event (Grand Prairie),4
32,Main Event (Grapevine),4
33,Main Event (Humble),4
34,Main Event (Katy),4
35,Main Event (Lewisville),4
36,Main Event (North),4
37,Main Event (Plano),4
38,Main Event (Shenandoah),4
39,Main Event (Stafford),4
40,Main Event (Tomball),4
41,Main Event (Webster),4
42,Main Event (West),4
43,Chuck E. Cheese (Abilene),3
44,Chuck E. Cheese (Amarillo),3
45,Chuck E. Cheese (Brownsville),3
46,Chuck E. Cheese (College Station),3
47,Chuck E. Cheese (Corpus Christi),3
48,Chuck E. Cheese (El Paso - Sunland),3
49,Chuck E. Cheese (El Paso - Zaragoza),3
50,Chuck E. Cheese (Laredo),3
51,Chuck E. Cheese (Longview),3
52,Chuck E. Cheese (Lubbock),3
53,Chuck E. Cheese (McAllen),3
54,Chuck E. Cheese (Midland),3
55,Chuck E. Cheese (Odessa),3
56,Chuck E. Cheese (Tyler),3
57,Chuck E. Cheese (Waco),3
58,Alley Cats Entertainment (Arlington),4
59,Alley Cats Entertainment (Burleson),4
60,Alley Cats Entertainment (Hurst),4
61,Andretti Indoor Karting & Games,4
62,Andretti Indoor Karting & Games,4
63,Andretti Indoor Karting & Games,4
64,K1 Speed,4
65,K1 Speed,4
66,K1 Speed (Conroe),4
67,K1 Speed (Houston),4
68,Kung Fu Saloon,2
69,Kung Fu Saloon (Domain),2
70,Kung Fu Saloon (Downtown),2
71,Pinballz Arcade (The Original),1
72,Pinballz Kingdom,1
73,Pinballz Lake Creek,1
74,Pinstack (Allen),4
75,Pinstack (Austin),3
76,Pinstack (Las Colinas),4
77,Pinstack (Plano),4
78,Pinstack (San Antonio),4
79,Round1 Bowling & Amusement (Arlington),4
80,Round1 Bowling & Amusement (Grapevine),4
81,Round1 Bowling & Amusement (Humble),4
82,Round1 Bowling & Amusement (North Star),4
83,Round1 Bowling & Amusement (Willowbrook),4
84,Activate Games,4
85,AR's Entertainment Hub,3
86,Arcade 92,1
87,Arcade UFO,1
88,Austin's (formerly Austin's Park),3
89,Axecade,2
90,Be Kind & Rewind,2
91,Black Dog Retro Arcade,1
92,Black Potion,1
93,Blazer Tag Adventure Center,3
94,Bob-O's Family Fun Center,3
95,Cinergy Amarillo,3
96,Cosmic Mayhem,3
97,Crush It! Sports Lounge,4
98,Diversions Game Room,1
99,Einstein's Pub & Arcade,2
100,EVO Entertainment (Belterra),4
101,EVO Entertainment (Kyle),4
102,EVO Entertainment (New Braunfels),4
103,EVO Entertainment (Schertz),4
104,FAO HTX,2
105,Farm + Feed,2
106,Galveston Fun Center,3
107,GattiTown (Round Rock),5
108,GattiTown (South Austin),5
109,Glitches Arcade,1
110,High 5 (Anderson),4
111,High 5 (Lakeway),4
112,Home Run Dugout,4
113,Immersive Gamebox (Cibolo),4
114,Immersive Gamebox (Houston Center),4
115,Immersive Gamebox (The Woodlands),4
116,In The Game Funtrackers,3
117,Incredible Pizza Company,3
118,Incredible Pizza Company,3
119,Joystix Classic Games,1
120,King's Landing Games,1
121,Liggettville Adventure Center,3
122,Monster Mini Golf,3
123,Monster Mini Golf,3
124,National Videogame Museum,4
125,Neil's Bahr,2
126,NerdVana Vintage Arcade & Toys,1
127,Nickelrama (Firewheel),5
128,Nickelrama (Garland),5
129,Oil Bowl Lanes (Arcade),3
130,Otaku Cafe,1
131,Palace Social,3
132,Pla Mor Entertainment,3
133,Playland Skate Center,3
134,PopStroke,4
135,PrimeTime Family Entertainment Center,3
136,Punch Bowl Social (Domain),4
137,Punch Bowl Social (Downtown),4
138,Push Start Play,1
139,Putters,2
140,Recess Arcade Bar,2
141,RETRO,2
142,RetroCade,2
143,Rush Fun Park,3
144,Santikos Entertainment (Casa Blanca),4
145,Santikos Entertainment (Palladium),4
146,Shenaniganz (Greenville),3
147,Shenaniganz (Rockwall),3
148,Slackers (Nacogdoches),2
149,Slackers (North Star),2
150,Spare Birdie Public House,4
151,Speedy's Fast Track,3
152,The Deep End,1
153,The Game Preserve (NASA),1
154,The Game Preserve (Spring),1
155,The Spot Family Entertainment Center,3
156,The Union Underground,7
157,Tilt Studio (Parkdale Mall),3
158,Tom Foolery's Adventure Park (Kalahari),3
159,Track 21,4
160,Two Bit Circus,4
161,Urban Air Adventure Park (Bee Cave),3
162,Urban Air Adventure Park (Cedar Park),3
163,Urban Air Adventure Park (South),3
164,What's Brewing Coffee Roasters,7
165,Zero Latency VR,4
166,Zero Latency VR,4
167,Time Rift,1
168,Kung Fu Saloon (Washington),2
